实验,pair_id,roi_id,scenario,模型,模型代码,邻域数,起点_row,起点_col,终点_row,终点_col,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以D,路径节点数,是否找到路径,profile_edges,path_length_profile_m,risk_weighted_distance_J,mean_unit_cost_weighted,elevation_gain_m,elevation_loss_m,net_elevation_change_m,uphill_edge_count,downhill_edge_count,flat_edge_count,uphill_length_m,uphill_length_ratio,downhill_length_m,downhill_length_ratio,flat_length_m,flat_length_ratio,mean_uphill_angle_deg,mean_downhill_angle_abs_deg,mean_abs_longitudinal_angle_deg,max_uphill_angle_deg,max_downhill_angle_abs_deg,mean_cross_angle_deg,median_cross_angle_deg,q90_cross_angle_deg,max_cross_angle_deg,cross_exposure_len_gt_8p0deg_m,cross_exposure_ratio_gt_8p0deg,cross_exposure_count_gt_8p0deg,cross_exposure_len_gt_10p0deg_m,cross_exposure_ratio_gt_10p0deg,cross_exposure_count_gt_10p0deg,cross_exposure_len_gt_12p0deg_m,cross_exposure_ratio_gt_12p0deg,cross_exposure_count_gt_12p0deg,cross_exposure_len_gt_15p0deg_m,cross_exposure_ratio_gt_15p0deg,cross_exposure_count_gt_15p0deg,uphill_exposure_len_gt_5p0deg_m,uphill_exposure_ratio_gt_5p0deg,uphill_exposure_count_gt_5p0deg,uphill_exposure_len_gt_10p0deg_m,uphill_exposure_ratio_gt_10p0deg,uphill_exposure_count_gt_10p0deg,uphill_exposure_len_gt_15p0deg_m,uphill_exposure_ratio_gt_15p0deg,uphill_exposure_count_gt_15p0deg,downhill_exposure_len_gt_5p0deg_m,downhill_exposure_ratio_gt_5p0deg,downhill_exposure_count_gt_5p0deg,downhill_exposure_len_gt_10p0deg_m,downhill_exposure_ratio_gt_10p0deg,downhill_exposure_count_gt_10p0deg,downhill_exposure_len_gt_15p0deg_m,downhill_exposure_ratio_gt_15p0deg,downhill_exposure_count_gt_15p0deg,turn_count,total_turn_angle_deg,mean_turn_angle_deg,max_turn_angle_deg
情景路径风险暴露,4,1,diagonal_nw_se,B1 仅纵坡方向模型,B1,8,292,787,427,652,11109.337479076374,8139.960367842709,1.3647901189991447,1.480391212906563,236,True,235,8139.960367842696,11109.337479076381,1.364790118999148,434.0,928.0,-494.0,69,133,33,2464.3997727978985,0.3027532888899101,4593.926437178383,0.5643671749713807,1081.6341578664135,0.13287953613870912,6.972964119217692,9.405759134653621,7.486081856827992,23.44074964550219,28.6603066735461,24.133307667609284,24.55552531220684,43.569265500240384,61.71730453967457,6108.764081450065,0.7504660717493209,174,5626.9948923834545,0.6912803795228744,161,5348.874584096058,0.6571130991284729,153,4955.553072144634,0.6087932678053058,141,1119.4693579530901,0.13752761774806763,31,649.6296441263157,0.0798074701558387,18,376.45068627525274,0.04624723822519324,11,3052.3352663578644,0.3749815881679549,89,1750.1814020360673,0.21501104709922705,50,939.6794276535488,0.11544029518445784,26,70,3510.0,15.0,135.0
情景路径风险暴露,4,1,diagonal_nw_se,Ours 纵坡+横坡非补偿模型,Ours,8,292,787,427,652,19019.883707714955,9787.717843156552,1.9432398862022178,1.780064132334081,287,True,286,9787.71784315657,19019.88370771498,1.9432398862022169,577.0,1071.0,-494.0,86,144,56,3013.6522645691894,0.30790142430150774,4958.447648213802,0.5065989567405313,1815.6179303735807,0.1854996189579611,6.571191310838471,8.911121484820207,6.637993292284338,32.692611757458984,41.62103066825739,8.54877375990301,7.389904343548372,15.383653119888013,39.34618789196189,4456.9130574018545,0.45535773801633067,127,2915.321886581334,0.297855121418287,83,1925.0299818992746,0.19667812382283043,54,1042.9511560777387,0.10655713341869116,30,1124.4107083894241,0.11487976323056716,32,580.0995670544664,0.05926811299122845,16,412.23911199476134,0.04211800121342821,11,2618.283978250598,0.26750709615942436,76,1534.6030460170177,0.15678864783479532,45,995.233255118394,0.10168184974950485,30,144,6660.0,23.36842105263158,90.0
情景路径风险暴露,5,1,random_far_1,B0 静态坡度模型,B0,8,352,789,342,624,20991.626976657648,10680.527171552723,1.9654111299457429,2.243445782915467,318,True,317,10680.527171552774,20991.626976657637,1.9654111299457326,876.0,869.0,7.0,108,144,65,3683.0473104408416,0.3448375956807183,4874.941321534947,0.4564326501147986,2122.5385395769845,0.19872975420448297,9.043792033216736,6.667688820464716,6.27807000705069,40.86938803086489,45.36509717695351,7.483899308247333,6.415171872511352,14.301638475125205,29.420394114130154,3877.661292049385,0.3630589791838558,116,2354.987721272204,0.22049358458116514,71,1503.7559707338435,0.14079417116591839,46,873.0439266508658,0.08174165119641183,27,1822.6060551770831,0.17064757440358685,55,1098.5049835425841,0.10285119506726366,34,832.3141504950231,0.07792818997847446,26,1688.4872514697186,0.15809025381883282,52,745.9132477470037,0.06983861711748822,23,410.19233762759336,0.03840562652376625,13,131,5940.0,18.79746835443038,90.0
情景路径风险暴露,5,1,random_far_1,B1 仅纵坡方向模型,B1,8,352,789,342,624,11762.03735954118,6434.251119733638,1.8280351731171007,1.3515150805694756,195,True,194,6434.251119733635,11762.037359541177,1.828035173117101,879.0,872.0,7.0,103,87,4,3550.9752811006456,0.5518863368900728,2768.0746349689634,0.43020929451748785,115.20120366402612,0.01790436859243927,11.602203728811673,14.68489821512446,12.727297057170604,37.66645346685253,31.91595042572883,33.34743692791995,35.43236243998672,44.11988193061414,51.512827129264295,6220.719538081754,0.9668132968890525,187,6134.318635333733,0.953385020444723,184,6076.71803350172,0.9444328361485033,182,5891.986752765846,0.9157222251856658,176,2913.2751122141663,0.45277609748230807,85,2021.3135855199625,0.31414900474130714,59,908.8323523703746,0.141249126814932,27,2444.2832000893904,0.3798861988138534,77,2050.961688137967,0.3187568607398203,65,1281.1894899112913,0.1991202186656852,42,52,4365.0,22.616580310880828,135.0
情景路径风险暴露,5,1,random_far_1,Ours 纵坡+横坡非补偿模型,Ours,8,352,789,342,624,20136.885936143863,10745.115898188236,1.874050138401876,2.2570126512981687,319,True,318,10745.115898188289,20136.885936143863,1.8740501384018668,883.0,876.0,7.0,109,144,65,3723.777086596684,0.34655532075038314,4898.80027201462,0.4559094865454728,2122.5385395769845,0.19753519270414394,8.902667943588014,6.780192251130209,6.291802787769749,40.86938803086489,45.36509717695351,7.330170187970528,6.407642849832156,13.432958585530015,26.258157050901925,3860.7904663732147,0.3593065447552943,115,2309.3165946800277,0.21491779302905395,69,1486.885145057673,0.13837776708470623,45,757.8427229868398,0.0705290413028135,23,1822.6060551770831,0.16962181445473185,55,1098.504983542584,0.10223295811335087,34,832.3141504950231,0.0774597648253713,26,1793.8057542610766,0.16694149893381108,54,712.171596394663,0.06627863330117646,21,462.85158902327225,0.04307553249391313,14,135,6165.0,19.44794952681388,90.0
情景路径风险暴露,6,2,contour_cross_slope,B0 静态坡度模型,B0,8,646,778,793,901,26828.496322462946,7777.485931174458,3.4495075349383044,1.4089139000881483,223,True,222,7777.485931174446,26828.496322462946,3.4495075349383097,1377.0,1474.0,-97.0,113,100,9,3946.3435674192365,0.507406069563062,3548.0807050314784,0.4561989229462608,283.0616587237311,0.03639500749067728,17.94694244539367,19.481382262265114,18.01391708593836,36.595275135008755,43.07289138134552,7.3036845248559885,6.65167187927824,14.892223691771964,25.00582578500991,2712.5208075041187,0.34876576203520204,83,1820.559280809915,0.23408069097400475,57,1374.578517462813,0.17673815544340607,44,664.4536954353182,0.08543296655439682,21,3430.8327270002856,0.441123617240952,98,2661.0605287736093,0.34214919220969564,75,2140.608337918324,0.2752313995629536,59,2963.039787540679,0.3809765538326397,83,2481.2705984740674,0.31903247661669265,70,2018.4190094507958,0.2595207535330125,56,75,3375.0,15.271493212669684,45.0
情景路径风险暴露,6,2,contour_cross_slope,B1 仅纵坡方向模型,B1,8,646,778,793,901,16479.24834662336,9396.091934609129,1.7538406883743296,1.7021290234822533,285,True,284,9396.091934609147,16479.24834662336,1.7538406883743263,1150.0,1247.0,-97.0,139,137,8,4719.0103417150785,0.5022311802136893,4422.820235086342,0.4707084887915499,254.2613578077246,0.027060330994760667,12.467891132842729,14.637534563380385,13.165407527941447,25.51963547097982,29.03195229250938,28.14614814489842,30.49616743932207,39.76811019578028,45.86082120295825,9060.371024489734,0.9642701548201297,274,8822.98049235818,0.9390053390026981,267,8511.118532718443,0.9058147357380538,257,7956.924690510817,0.8468334224362615,239,4110.110473744605,0.43742765634354924,122,3251.890598402742,0.34608969569836506,98,1693.4286019060528,0.18022690855849902,53,4000.698422218911,0.4257832352068541,124,3341.186077219928,0.35559316580472694,104,2273.528168960519,0.241965296293697,69,105,8820.0,31.166077738515902,135.0
情景路径风险暴露,6,2,contour_cross_slope,Ours 纵坡+横坡非补偿模型,Ours,8,646,778,793,901,24664.03124111182,7842.074657809972,3.1450900835978084,1.4206143333066792,224,True,223,7842.074657809961,24664.03124111183,3.145090083597814,1391.0,1488.0,-97.0,114,100,9,3987.073343575079,0.5084207327208156,3571.939655511151,0.45548401556644696,283.0616587237311,0.0360952517127376,17.93170222533985,19.64528608576597,18.08494102193549,36.595275135008755,45.76504722651191,6.7231435413356095,6.281519048844994,14.113377436761901,21.258262220893904,2405.6001983007154,0.3067555848763779,74,1444.1085945346622,0.18414879448979327,46,1055.7284330195735,0.1346236141692643,35,472.7342898959407,0.06028178900657906,16,3471.562503156128,0.44268419450697044,99,2701.7903049294523,0.3445249405064929,76,2111.8080370023176,0.2692920087032272,58,3044.4993398523634,0.3882262631637065,85,2562.7301507857537,0.3267923684242815,72,2076.019611282809,0.26472836613654155,58,80,3645.0,16.41891891891892,90.0
情景路径风险暴露,7,2,upslope_downslope,B0 静态坡度模型,B0,8,781,766,658,913,12901.296309602778,6864.560030069742,1.8794061459277098,1.2435347527390896,200,True,199,6864.560030069737,12901.29630960278,1.8794061459277116,810.0,252.0,558.0,134,43,22,4694.303589533409,0.6838462434548365,1405.4255927459876,0.20473644146013972,764.8308477903419,0.11141731508502402,7.804167019140889,6.5453396771300465,6.730986034142563,56.295625762033765,31.016782599505355,7.236551364313628,6.896520341977419,11.273337104304362,30.169288600008056,2241.8332919753466,0.3265807687827259,65,1146.2228845019285,0.16697688992171056,34,520.4521908552854,0.0758172684885091,16,283.06165872373117,0.04123522228428317,9,2759.3909067614654,0.40197636770224776,78,925.703178046545,0.13485251407104976,28,242.33188256788844,0.03530188118486402,8,467.7929394596063,0.06814609201616291,15,237.3905321315543,0.03458204620422595,7,179.7899302995412,0.026191034751241692,5,91,4095.0,20.681818181818183,45.0
情景路径风险暴露,7,2,upslope_downslope,B1 仅纵坡方向模型,B1,8,781,766,658,913,8363.896339472061,6451.47311637298,1.2964320223617773,1.1687028726428443,184,True,183,6451.4731163729775,8363.89633947206,1.2964320223617776,715.0,157.0,558.0,130,32,21,4579.1023858693825,0.709776248504893,1100.5517579097518,0.17058921862616128,771.8189725938439,0.11963453286894592,7.389723235029445,5.097117099929826,6.160998880261994,28.088401913913266,15.958275809223636,17.88269670986879,15.060193073233776,38.47096599897799,49.833381627113766,5003.2709731039795,0.775523804076056,141,4272.181776665978,0.6622025233002601,121,3685.09408480801,0.5712019593564969,106,3215.2543709812358,0.4983752257792642,93,2828.9209838333145,0.4384922532892357,80,1098.504983542584,0.17027196172525697,34,381.3920367115868,0.05911704657710883,12,376.4506862752528,0.05835112066418927,11,57.60060183201306,0.008928286732813073,2,28.80030091600653,0.0044641433664065365,1,52,2520.0,13.846153846153847,135.0
