实验,pair_id,roi_id,scenario,模型,模型代码,邻域数,起点_row,起点_col,终点_row,终点_col,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以D,路径节点数,是否找到路径,alpha_r,profile_edges,path_length_profile_m,risk_weighted_distance_J,mean_unit_cost_weighted,elevation_gain_m,elevation_loss_m,net_elevation_change_m,uphill_edge_count,downhill_edge_count,flat_edge_count,uphill_length_m,uphill_length_ratio,downhill_length_m,downhill_length_ratio,flat_length_m,flat_length_ratio,mean_uphill_angle_deg,mean_downhill_angle_abs_deg,mean_abs_longitudinal_angle_deg,max_uphill_angle_deg,max_downhill_angle_abs_deg,mean_cross_angle_deg,median_cross_angle_deg,q90_cross_angle_deg,max_cross_angle_deg,cross_exposure_len_gt_8p0deg_m,cross_exposure_ratio_gt_8p0deg,cross_exposure_count_gt_8p0deg,cross_exposure_len_gt_10p0deg_m,cross_exposure_ratio_gt_10p0deg,cross_exposure_count_gt_10p0deg,cross_exposure_len_gt_12p0deg_m,cross_exposure_ratio_gt_12p0deg,cross_exposure_count_gt_12p0deg,cross_exposure_len_gt_15p0deg_m,cross_exposure_ratio_gt_15p0deg,cross_exposure_count_gt_15p0deg,uphill_exposure_len_gt_5p0deg_m,uphill_exposure_ratio_gt_5p0deg,uphill_exposure_count_gt_5p0deg,uphill_exposure_len_gt_10p0deg_m,uphill_exposure_ratio_gt_10p0deg,uphill_exposure_count_gt_10p0deg,uphill_exposure_len_gt_15p0deg_m,uphill_exposure_ratio_gt_15p0deg,uphill_exposure_count_gt_15p0deg,downhill_exposure_len_gt_5p0deg_m,downhill_exposure_ratio_gt_5p0deg,downhill_exposure_count_gt_5p0deg,downhill_exposure_len_gt_10p0deg_m,downhill_exposure_ratio_gt_10p0deg,downhill_exposure_count_gt_10p0deg,downhill_exposure_len_gt_15p0deg_m,downhill_exposure_ratio_gt_15p0deg,downhill_exposure_count_gt_15p0deg,turn_count,total_turn_angle_deg,mean_turn_angle_deg,max_turn_angle_deg
alpha_r敏感性,3,1,diagonal_ne_sw,Ours 纵坡+横坡非补偿模型,Ours,8,292,652,427,787,22074.277357487954,7150.867435825812,3.0869370122701376,1.300507722184622,200,True,12.0,199,7150.867435825805,22074.277357487954,3.0869370122701407,1277.0,1207.0,70.0,104,86,9,3699.0703344150143,0.5172897368901979,3168.73544268706,0.44312602227971865,283.0616587237311,0.03958424083008361,16.86816653752033,18.882331579366994,17.110931257923788,47.19240858759826,37.718850596930736,6.090231754893878,4.955204395531032,11.822045779431628,24.984108435739603,1941.900807575445,0.2715615727745886,55,1054.880631317575,0.14751785581041946,30,731.0891964380012,0.10223783380114816,20,266.1908330475608,0.037224971017354655,8,2963.0397875406784,0.41436088895955,83,2011.430884647294,0.28128487944973457,57,1611.121247892369,0.2253043092115875,46,2890.6151343996626,0.40423279557913455,78,2682.024903184116,0.37506287555369666,72,2252.9149655131832,0.3150547798195911,60,81,3645.0,18.40909090909091,45.0
alpha_r敏感性,4,1,diagonal_nw_se,Ours 纵坡+横坡非补偿模型,Ours,8,292,787,427,652,21395.03561501889,9777.83514228388,2.1881158051537257,1.7782667939109744,285,True,12.0,284,9777.835142283902,21395.03561501889,2.188115805153721,639.0,1133.0,-494.0,86,145,53,3025.581739809025,0.3094326807296028,5034.965850089153,0.5149366681706077,1717.2875523857251,0.17563065109978954,7.437817372911882,9.323041337685378,7.198344742530272,44.50276085947938,41.62103066825739,7.5448151774160115,6.89732903725209,14.049001272561398,22.10658177189507,4027.8031197309215,0.4119319932397745,115,2340.1636699632013,0.2393335166639542,68,1465.0729689451684,0.1498361291253022,43,635.6533945193116,0.06500962485759768,20,1066.810106557411,0.10910493898020723,30,592.0290422943026,0.06054806955520184,16,354.6385101627483,0.036269634842699135,9,2798.07390855014,0.2861649708584233,81,1592.2036478490309,0.16283805409682175,47,1134.2934092620926,0.11600659990235271,34,144,6660.0,23.53356890459364,90.0
alpha_r敏感性,1,1,contour_cross_slope,Ours 纵坡+横坡非补偿模型,Ours,8,264,726,455,713,23312.491801357213,7312.587567784011,3.1879948903533983,1.3262856320240988,211,True,15.0,210,7312.587567784007,23312.491801357217,3.187994890353401,1408.0,1411.0,-3.0,103,104,3,3372.0331525031015,0.4611272167678064,3818.3650868133764,0.5221633315729971,122.18932846752814,0.016709451659196496,21.42348198267291,18.7128198480269,19.655966259683776,34.428318925546904,46.40223682112362,7.126384012023318,5.930489069944704,14.115156651024192,28.09626445993348,2673.837805715444,0.36564865458776574,80,1637.8747744412076,0.22398019295617763,49,1186.9526606577715,0.16231636881682682,35,596.9703927306367,0.08163599918592722,17,3285.6322497550823,0.44931185018967973,100,3031.370891947358,0.4145414825939622,92,2707.5794570677845,0.3702628422524702,82,3691.234407909513,0.5047781477751381,100,3228.3828188862403,0.4414829619420973,86,2346.303993064704,0.3208582422180448,62,68,3060.0,14.641148325358852,45.0
alpha_r敏感性,2,1,upslope_downslope,Ours 纵坡+横坡非补偿模型,Ours,8,353,624,366,815,22680.418690510036,7776.2869585092885,2.9166128785527565,1.4103868935538297,230,True,15.0,229,7776.286958509276,22680.41869051003,2.9166128785527605,1216.0,1055.0,161.0,100,97,32,3440.7154278729536,0.44246250765063627,3318.526099405425,0.42674943930330356,1017.0454312308984,0.13078805304606034,15.154582115989168,14.154480900621696,12.815360005345362,46.69996295452309,47.436799641285745,8.103733713948994,7.3230872431742124,14.551253746100135,35.27834146009364,3258.8787232062446,0.41907902069382685,97,2309.316594680027,0.2969690556690472,69,1556.4152221295221,0.20014889245135173,47,700.2421211548267,0.09004839004668933,21,1836.582304784087,0.23617728031170318,53,1280.3416882092931,0.16464691890109162,37,1239.6119120534504,0.15940922945198072,36,1968.6543341242834,0.2531612252258856,58,1685.5926754005523,0.21676060623715493,49,1414.4604919166572,0.18189407097031965,40,97,4455.0,19.539473684210527,90.0
alpha_r敏感性,3,1,diagonal_ne_sw,Ours 纵坡+横坡非补偿模型,Ours,8,292,652,427,787,20834.445069006273,7129.903061415305,2.922121786165011,1.296694991623426,203,True,15.0,202,7129.903061415298,20834.445069006277,2.9221217861650146,1290.0,1220.0,70.0,106,88,8,3697.0235600478454,0.5185236781205241,3178.6181435597287,0.44581505753722933,254.2613578077246,0.03566126434224665,16.911703904182275,18.423925143431692,16.998776696600732,47.19240858759826,39.50489328117281,6.683627684373362,5.763848616177208,12.222671574484856,32.832079855886306,2148.4442644238247,0.30132867809248376,63,1314.0833395616337,0.184305919483397,39,822.4314496223549,0.11534959767869563,24,323.7914348795738,0.04541316089300387,10,2972.922488413347,0.4169653448027688,85,2155.432389227326,0.30230879307347397,62,1697.5221506403884,0.23808488502835654,49,2953.157086668011,0.4141931610051658,81,2663.1073031407773,0.37351241387174566,73,2205.1970645538386,0.30928850582662804,60,87,3915.0,19.47761194029851,45.0
alpha_r敏感性,4,1,diagonal_nw_se,Ours 纵坡+横坡非补偿模型,Ours,8,292,787,427,652,19019.883707714955,9787.717843156552,1.9432398862022178,1.780064132334081,287,True,15.0,286,9787.71784315657,19019.88370771498,1.9432398862022169,577.0,1071.0,-494.0,86,144,56,3013.6522645691894,0.30790142430150774,4958.447648213802,0.5065989567405313,1815.6179303735807,0.1854996189579611,6.571191310838471,8.911121484820207,6.637993292284338,32.692611757458984,41.62103066825739,8.54877375990301,7.389904343548372,15.383653119888013,39.34618789196189,4456.9130574018545,0.45535773801633067,127,2915.321886581334,0.297855121418287,83,1925.0299818992746,0.19667812382283043,54,1042.9511560777387,0.10655713341869116,30,1124.4107083894241,0.11487976323056716,32,580.0995670544664,0.05926811299122845,16,412.23911199476134,0.04211800121342821,11,2618.283978250598,0.26750709615942436,76,1534.6030460170177,0.15678864783479532,45,995.233255118394,0.10168184974950485,30,144,6660.0,23.36842105263158,90.0
alpha_r敏感性,1,1,contour_cross_slope,Ours 纵坡+横坡非补偿模型,Ours,8,264,726,455,713,22008.79268618013,7394.047120095698,2.9765556438454617,1.3410599691271612,213,True,20.0,212,7394.047120095691,22008.79268618011,2.9765556438454617,1410.0,1413.0,-3.0,104,107,1,3460.48082961829,0.468009031239918,3892.8365143215588,0.5264825137158686,40.729776155842714,0.005508455044213406,20.772741582755952,18.278988282209543,19.349267375706418,34.428318925546904,46.216381940247786,8.150057280955128,6.926941247654495,15.885404984423968,34.18446380912148,3045.3471415543627,0.4118647192925856,90,2026.2549359562965,0.27403868315219415,60,1527.6149212135158,0.20660064730473965,46,822.4314496223549,0.11122886238946653,24,3345.2796259542633,0.4524287675774198,100,3021.4881910746894,0.40863794103540774,90,2767.2268332669655,0.3742506354532338,82,3765.705835417696,0.5092888609247815,103,3406.1259748186135,0.46065786699700295,93,2490.305497644738,0.33679870539052087,67,89,4005.0,18.981042654028435,45.0
alpha_r敏感性,2,1,upslope_downslope,Ours 纵坡+横坡非补偿模型,Ours,8,353,624,366,815,20456.306460320502,7189.199266651317,2.845422098009104,1.3039066684308125,215,True,20.0,214,7189.199266651309,20456.3064603205,2.8454220980091067,1121.0,960.0,161.0,100,86,28,3381.0680516737725,0.4702982802768598,2930.1459378903364,0.40757611928806403,877.9852770872001,0.12212560043507613,14.508732147002242,14.957773183338718,12.983303629242437,45.376894540917874,47.436799641285745,10.298995151041149,7.847564345781137,23.376939681671097,48.45382193125944,3357.2091011941,0.4669795587343443,100,2633.108029559601,0.36625887416611963,79,2134.4680148168204,0.29689927009229283,65,1273.3535634057914,0.17712036016479937,38,1968.6543341242837,0.2738349934541837,58,1575.3328221728605,0.2191249350230686,46,1337.9422900413063,0.18610449375741295,39,1719.334326752893,0.2391551914172703,51,1604.133123088867,0.22313098630190895,47,1431.3313175928276,0.19909467862886687,41,98,4455.0,20.91549295774648,90.0
alpha_r敏感性,3,1,diagonal_ne_sw,Ours 纵坡+横坡非补偿模型,Ours,8,292,652,427,787,19627.318784115363,7238.11614027583,2.7116612118035737,1.3163753934715179,208,True,20.0,207,7238.1161402758225,19627.31878411537,2.7116612118035777,1298.0,1228.0,70.0,104,93,10,3627.493482975997,0.5011654155134576,3274.901747180417,0.45245222426834675,335.72091011941,0.046382360218195764,17.130960993237792,17.771097134977005,16.649657078617977,47.19240858759826,33.526395983997254,7.280846524866853,5.94626133922019,14.592626150472583,32.832079855886306,2479.2238241069003,0.3425233549806545,72,1580.2741726091947,0.2183267223105065,47,1117.422583585922,0.1543803058599914,33,573.1114422509643,0.07917964165591915,17,2972.9224884133464,0.41073152610398117,85,2155.432389227326,0.29778914118739036,62,1680.651324964218,0.23219457831194368,48,3090.170466444541,0.42693021313233365,87,2840.850459073151,0.39248478526967856,80,2215.079765426507,0.306029873312049,62,92,4185.0,20.315533980582526,90.0
alpha_r敏感性,4,1,diagonal_nw_se,Ours 纵坡+横坡非补偿模型,Ours,8,292,787,427,652,16603.608414498533,9787.71784315655,1.6963717876386852,1.7800641323340805,287,True,20.0,286,9787.71784315657,16603.60841449852,1.6963717876386806,581.0,1075.0,-494.0,86,145,55,3025.5817398090253,0.3091202452188043,4975.318473889971,0.508322629811876,1786.8176294575744,0.18255712496931972,6.3292051700090965,8.686289031557939,6.46936726695194,28.816619001604742,41.62103066825739,8.80254900594387,7.4158572506735485,15.545500354480186,39.34618789196189,4555.24343538971,0.46540404089955145,130,3013.65226456919,0.3079014243015078,86,2052.1606608031366,0.20966692069469264,58,1141.2815340655945,0.116603436301912,33,1095.6104074734176,0.11193726924192574,31,580.0995670544664,0.05926811299122845,16,412.23911199476134,0.04211800121342821,11,2524.8949506990766,0.2579656454302518,74,1493.873269861175,0.1526273329288573,44,954.5034789625513,0.09752053484356686,29,134,6210.0,21.789473684210527,90.0
