版本,说明,pair_id,scenario,是否找到路径,路径相对累计代价_Jplan,路径长度_L_m,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b
V10-LC-TWI,土地覆盖 + TWI,3,diagonal_ne_sw,True,9961.528008024308,5042.801776594651,5042.801776594652,0.42693313071944117,0.5208947343727542,0.2259566053354925,0.7390361112580707,1.2444862665868606,2.3454609580361545,8.286320909054039,1.0859427869539573,3.836259680117611,8.286320909054039,0.01949915589469336,0.4169850870584143,0.26352560535663816,0.20959130509358906,0.43550436100350015,0.5320202585273593,0.29208145802734853,0.24524409064110103,0.0,0.46267445133155083,0.323387817610863,0.323387817610863
V10-LC-TWI,土地覆盖 + TWI,4,diagonal_nw_se,True,9861.376082986351,4574.161035433042,4574.161035433048,0.35328957335446576,0.8314426327365675,0.290202452147351,0.8052057837405525,1.4460474276844026,1.5636406386907695,14.884687558856326,0.8403128708572288,6.4449162625975855,14.884687558856326,0.024104934735261978,0.46950608998804244,0.24905873467801343,0.36157402102892966,0.621064811025876,0.7352931823435873,0.31246922269546773,0.3574382680685954,0.0,0.3300925092359372,0.3502759821009859,0.3502759821009859
V10-LC-TWI-Water,土地覆盖 + TWI + 水系影响,1,contour_cross_slope,True,10341.019783618398,5294.16855833321,5294.168558333211,0.27955993395308015,0.29214714763102034,0.2548126844417402,0.9539162985862737,1.148520947536933,1.50350061412574,3.287800370415309,0.9049523224616309,4.910412390550541,4.910412390550541,0.04390664542203454,0.48818663373120147,0.17485336325180934,0.1354533651374276,0.4180133228995791,0.49455999547451623,0.18705333873877233,0.18386665786711495,0.0,0.6290800033941122,0.28711777406375244,0.28711777406375244
V10-LC-TWI-Water,土地覆盖 + TWI + 水系影响,2,upslope_downslope,True,9670.499528404522,4629.71486289789,4629.714862897893,0.45436398664780914,0.5861925090508854,0.28706139332401,0.7391157034206577,1.245427753887915,2.3814234746768475,4.384858893276417,0.7498176386110658,2.065360216403268,4.384858893276417,0.00879746968484979,0.46965095122719214,0.2568191498257205,0.2977876839123937,0.5913061196463012,0.6726179708991924,0.2780581204534512,0.31494052815792695,0.0,0.40700135138862226,0.3690470819249908,0.3690470819249908
V10-LC-TWI-Water,土地覆盖 + TWI + 水系影响,3,diagonal_ne_sw,True,10064.569619027014,5110.285079299333,5110.285079299334,0.43417481534258034,0.4273865901866922,0.23255523120897578,0.769082377524864,1.1516882585575607,2.3454609580361545,2.937654124084923,0.8403128708572288,3.836259680117611,3.836259680117611,0.01924166195466687,0.4260514886262179,0.2759859618977843,0.19845289243643943,0.44859449784710875,0.5358657080489964,0.2905588137744539,0.25190958880699077,0.0,0.45753159741855565,0.3177771817395825,0.3177771817395825
V10-LC-TWI-Water,土地覆盖 + TWI + 水系影响,4,diagonal_nw_se,True,9929.159738273607,4624.773512461556,4624.773512461558,0.35616453664306746,0.6417961163649624,0.2924915456170124,0.8484623821786836,1.3104732205461405,1.5636406386907695,3.0163956070126994,0.8403128708572288,6.4449162625975855,6.4449162625975855,0.015034266409911503,0.4845611323959889,0.2639468308493212,0.3187416344051921,0.635972248911859,0.7386326414659592,0.2635042633675511,0.3021963480967554,0.0,0.434299388535694,0.3490070584316742,0.3490070584316742
V10-Full,土地覆盖 + TWI + 水系 + 土壤软弱倾向,1,contour_cross_slope,True,9909.534374564202,5294.16855833321,5294.168558333211,0.27955993395308015,0.2636772509031512,0.2548126844417402,0.8797136211019696,1.069422276425671,1.50350061412574,3.0614549539839597,0.9049523224616309,4.910412390550541,4.910412390550541,0.04390664542203454,0.42889333195054663,0.17485336325180934,0.1168800279071499,0.4048799901947852,0.46829333006492835,0.18705333873877233,0.17617332968780477,0.0,0.6367733315734223,0.3186856783808355,0.3186856783808355
V10-Full,土地覆盖 + TWI + 水系 + 土壤软弱倾向,2,upslope_downslope,True,9515.162513432662,4514.513659233866,4514.513659233867,0.4274003230321769,0.6005369360933471,0.30709982569323574,0.7759287718113823,1.2432285624665766,2.3454609580361545,3.386087277101314,0.8273849805363485,2.114321817169962,3.386087277101314,0.021780945946798372,0.5139863213109975,0.30757571510049675,0.32807431867881176,0.5962785378998305,0.6578843562183857,0.30867026277701737,0.3137674117756935,0.0,0.3775623254472895,0.3778736350787553,0.3778736350787553
V10-Full,土地覆盖 + TWI + 水系 + 土壤软弱倾向,3,diagonal_ne_sw,True,9816.023091387087,5110.285079299332,5110.285079299334,0.43620842103505153,0.38837048737908203,0.23564635080856342,0.7396552784724767,1.0966984413328165,2.3454609580361545,2.7037992519043903,0.8403128708572288,3.836259680117611,3.836259680117611,0.01924166195466687,0.3895020491713348,0.27035020959256156,0.1928171401312167,0.4293528358924419,0.5166240460943294,0.2905588137744539,0.2575453411122135,0.0,0.4518958451133329,0.33970762339214833,0.33970762339214833
V10-Full,土地覆盖 + TWI + 水系 + 土壤软弱倾向,4,diagonal_nw_se,True,9751.142653279423,4540.419384080703,4540.419384080707,0.3662147990593123,0.6686443783071948,0.28424119763008754,0.8073369012056565,1.3235308934689451,1.4734306018432253,2.9212965283338215,0.7495947108111005,6.4449162625975855,6.4449162625975855,0.00634309267046654,0.4924752430748735,0.2741053539797112,0.31985937182262697,0.6302974662467409,0.7538944117136517,0.2852524469566211,0.303006699106174,0.0,0.41174085393720533,0.3607539489127648,0.3607539489127648
