degree,rho_up_grade,rho_down_mu_0.35,rho_slide_mu_0.35,rho_down_mu_0.5,rho_slide_mu_0.5,rho_down_mu_0.7,rho_slide_mu_0.7,rho_roll_cgH_0.4,rho_roll_cgH_0.45,rho_roll_cgH_0.5,rho_roll_cgH_0.55
9.5,0.28984590069812793,0.4781217388665652,0.4781217388665652,0.33468521749346875,0.33468521749346875,0.23906086977479818,0.23906086977479818,0.15664758050064506,0.176228528042605,0.19580947557998254,0.21539042311277776
9.75,0.2976207610913365,0.4909469323976521,0.4909469323976521,0.34366285297292465,0.34366285297292465,0.24547346654950247,0.24547346654950247,0.16084951354987204,0.1809557027224322,0.2010618918902871,0.2211680810534367
10.0,0.3054072888032977,0.5037913720133531,0.5037913720133531,0.352653960711622,0.352653960711622,0.2518956863665276,0.2518956863665276,0.1650577522161497,0.18568997122144063,0.20632219022190315,0.2269544092175373
10.25,0.313205807283176,0.5166555912664169,0.5166555912664169,0.3616589141964852,0.3616589141964852,0.2583277960022482,0.2583277960022482,0.1692724713079847,0.19043153019920017,0.21159058908546396,0.23274964796677608
10.5,0.3210166418916915,0.5295401268628407,0.5295401268628407,0.37067808912171263,0.37067808912171263,0.26477006380966334,0.26477006380966334,0.1734938466669861,0.19518057747752107,0.21686730828298087,0.2385540390833655
10.75,0.3288401199575131,0.542445518754896,0.542445518754896,0.37971186345389457,0.37971186345389457,0.2712227597649091,0.2712227597649091,0.17772205519834364,0.1999373120747417,0.2221525689459409,0.24436782581194125
11.0,0.3366765708343324,0.5553723102352748,0.5553723102352748,0.38876061749791574,0.38876061749791574,0.2776861555143319,0.2776861555143319,0.18195727490167282,0.2047019342404295,0.22744659357386343,0.25019125290197464
11.25,0.3445263259586368,0.5683210480323913,0.5683210480323913,0.3978247339636666,0.3978247339636666,0.2841605244221393,0.2841605244221393,0.1861996849022389,0.20947464549050787,0.23274960607333,0.25602456665070533
11.5,0.35238971890820664,0.5812922824068774,0.5812922824068774,0.4069045980335895,0.4069045980335895,0.2906461416186475,0.2906461416186475,0.1904494654825716,0.21425564864282276,0.23806183179750273,0.26186801494661155
11.75,0.3602670854613583,0.5942865672493076,0.5942865672493076,0.41600059743108725,0.41600059743108725,0.29714328404914425,0.29714328404914425,0.1947067981144831,0.21904514785316276,0.24338349758614672,0.26772184731343496
12.0,0.36815876365695605,0.6073044601791934,0.6073044601791934,0.42511312248981803,0.42511312248981803,0.3036522305233856,0.3036522305233856,0.19897186549150142,0.22384334865174693,0.24871483180617196,0.27358631495477653
12.25,0.37606509385521636,0.6203465226452846,0.6203465226452846,0.4342425662239071,0.4342425662239071,0.31017326176574694,0.31017326176574694,0.20324485156173244,0.22865045798019434,0.2540560643927108,0.27946167079928175
12.5,0.3839864187993299,0.6334133200272187,0.6334133200272187,0.4433893243991011,0.4433893243991011,0.3167066604660475,0.3167066604660475,0.20752594156116333,0.23346668422899053,0.25940742689074703,0.28534816954643283
12.75,0.3919230836779241,0.6465054217385582,0.6465054217385582,0.452553795604894,0.452553795604894,0.3232527113310687,0.3232527113310687,0.21181532204742065,0.2382922372754654,0.2647691524973139,0.29124606771296635
13.0,0.399875436188393,0.6596234013312563,0.6596234013312563,0.4617363813276535,0.4617363813276535,0.32981170113678776,0.32981170113678776,0.216113180933997,0.24312732852229804,0.27014147610427713,0.29715562367993437
13.25,0.40784382660111873,0.6727678366015969,0.6727678366015969,0.47093748602477853,0.47093748602477853,0.33638391878134694,0.33638391878134694,0.22041970752495973,0.24797217093656418,0.27552463434172075,0.30307709774042946
13.5,0.4158286078246127,0.6859393096976477,0.6859393096976477,0.48015751719991706,0.48015751719991706,0.34296965533878054,0.34296965533878054,0.22473509255015628,0.2528269790893422,0.28091886562195406,0.3090107521479918
13.75,0.42383013547160076,0.6991384072282741,0.6991384072282741,0.48939688547927496,0.48939688547927496,0.3495692041135217,0.3495692041135217,0.22905952820093034,0.2576919691958938,0.2863244101841566,0.31495685116571887
14.0,0.43184876792608246,0.712365720373757,0.712365720373757,0.4986560046890494,0.4986560046890494,0.3561828606957112,0.3561828606957112,0.23339320816636386,0.26256735915643603,0.2917415101396808,0.3209156611160982
14.25,0.43988486641139046,0.7256218449980624,0.7256218449980624,0.5079352919340168,0.5079352919340168,0.36281092301733253,0.36281092301733253,0.23773632767005992,0.2674533685975224,0.2971704095180304,0.326887450431584
14.5,0.4479387950592793,0.7389073817628082,0.7389073817628082,0.5172351676773103,0.5172351676773103,0.36945369140919515,0.36945369140919515,0.24208908350748196,0.27235021891404915,0.30261135431353464,0.33287248970593836
14.75,0.4560109209800742,0.7522229362429799,0.7522229362429799,0.5265560558214197,0.5265560558214197,0.3761114686587921,0.3761114686587921,0.2464516740838655,0.2772581333119064,0.30806459253273794,0.33887105174636006
15.0,0.46410161433390706,0.7655691190444388,0.7655691190444388,0.5358983837904486,0.5358983837904486,0.38278456006905454,0.38278456006905454,0.2508242994527181,0.28217733685129,0.31353037424252456,0.34488341162642183
15.25,0.4722112484030735,0.7789465459232812,0.7789465459232812,0.5452625826136648,0.5452625826136648,0.389473273518031,0.389473273518031,0.25520716135492455,0.28710805649069526,0.31900895161900045,0.35090984673984016
15.5,0.48034019966554037,0.7923558379070932,0.7923558379070932,0.5546490870103788,0.5546490870103788,0.39617791951951514,0.39617791951951514,0.259600463258474,0.29205052113161006,0.3245005789971521,0.35695063685510015
15.75,0.4884888478696356,0.8057976214181585,0.8057976214181585,0.5640583354761896,0.5640583354761896,0.402898811284649,0.402898811284649,0.2640044103988266,0.29700496166392704,0.3300055129213046,0.3630060641709594
16.0,0.4966575761099564,0.8192725283986726,0.8192725283986726,0.5734907703706343,0.5734907703706343,0.40963626478453097,0.40963626478453097,0.26841920981993783,0.30197161101209596,0.33552401219640215,0.36907641337285635
16.25,0.504846770904525,0.8327811964380182,0.8327811964380182,0.5829468380062816,0.5829468380062816,0.4163905988138529,0.4163905988138529,0.2728450704159574,0.3069507041820354,0.34105633794013196,0.375161971690247
16.5,0.5130568222732302,0.84632426890216,0.84632426890216,0.5924269887393065,0.5924269887393065,0.42316213505559735,0.42316213505559735,0.2772822029736234,0.31194247830882554,0.34660275363591647,0.3812630289548961
16.75,0.521288123817589,0.8599023950652164,0.8599023950652164,0.6019316770615929,0.6019316770615929,0.4299511981468242,0.4299511981468242,0.28173082021536916,0.31694717270520395,0.35216352518679733,0.38737987766014936
17.0,0.5295410728018639,0.873516230243269,0.873516230243269,0.6114613616943981,0.6114613616943981,0.4367581157455747,0.4367581157455747,0.2861911368431636,0.3219650289108855,0.35773892097023563,0.3935128130212138
17.25,0.5378160702355734,0.8871664359304702,0.8871664359304702,0.6210165056836291,0.6210165056836291,0.44358321859892547,0.44358321859892547,0.29066336958310385,0.32699629074272957,0.36332921189385264,0.399662133036473
17.5,0.546113520957436,0.9008536799375138,0.9008536799375138,0.6305975764967718,0.6305975764967718,0.4504268406122238,0.4504268406122238,0.29514773723078297,0.33204120434577833,0.36893467145213976,0.4058281385498674
17.75,0.5544338337207824,0.9145786365325288,0.9145786365325288,0.6402050461215173,0.6402050461215173,0.4572893189195349,0.4572893189195349,0.29964446069745115,0.3371000182451881,0.3745555757841596,0.4120111333143657
18.0,0.5627774212804806,0.9283419865844694,0.9283419865844694,0.6498393911661339,0.6498393911661339,0.4641709939553362,0.4641709939553362,0.30415376305699443,0.34217298339908064,0.3801922037322696,0.41821142405656114
18.25,0.571144700481413,0.9421444177090635,0.9421444177090635,0.6595010929616312,0.6595010929616312,0.4710722095274921,0.4710722095274921,0.30867586959375215,0.34726035325233784,0.38584483690189386,0.42442932054242033
18.5,0.5795360923485464,0.9559866244173901,0.9559866244173901,0.6691906376657651,0.6691906376657651,0.4779933128915427,0.4779933128915427,0.3132110078511956,0.35236238379136475,0.39151375972237157,0.43066513564421616
18.75,0.5879520221786421,0.9698693082671614,0.9698693082671614,0.6789085163689347,0.6789085163689347,0.48493465482634457,0.48493465482634457,0.31775940768149274,0.3574793335998503,0.3971992595089125,0.43691918540867936
19.0,0.596392919633646,0.9837931780167773,0.9837931780167773,0.6886552252020202,0.6886552252020202,0.4918965897110982,0.4918965897110982,0.32232130129598113,0.36261146391554916,0.40290162652568845,0.44319178912639895
19.25,0.6048592188358084,0.9977589497822313,0.9977589497822313,0.6984312654462174,0.6984312654462174,0.4988794756038007,0.4988794756038007,0.3268969233165752,0.3677590386881152,0.4086211540500926,0.4494832694025073
19.5,0.6133513584645779,1.0117673471969448,1.0117673471969448,0.7082371436449217,0.7082371436449217,0.5058836743211634,0.5058836743211634,0.33148651082813313,0.37292232463801367,0.41435813843819735,0.4557939522286842
19.75,0.6218697818553183,1.0258191015746072,1.0258191015746072,0.7180733717177165,0.7180733717177165,0.5129095515200316,0.5129095515200316,0.33609030343180823,0.37810159131654214,0.42011287919144447,0.4621241670565153
20.0,0.6304149370998986,1.0399149520751068,1.0399149520751068,0.7279404670765238,0.7279404670765238,0.5199574767803499,0.5199574767803499,0.34070854329941297,0.38329711116698956,0.42588567902459945,0.46847424687224276
20.25,0.6389872771492056,1.0540556458736328,1.0540556458736328,0.7378389527439763,0.7378389527439763,0.5270278236897132,0.5270278236897132,0.34534147522882214,0.388509159586965,0.43167684393500566,0.4748445282729442
20.5,0.6475872599176329,1.0682419383330364,1.0682419383330364,0.7477693574740707,0.7477693574740707,0.5341209699295483,0.5341209699295483,0.349989346700444,0.3937380149919278,0.43748668327317336,0.48123535154418084
20.75,0.6562153483895985,1.0824745931795414,1.0824745931795414,0.7577322158751637,0.7577322158751637,0.5412372973629669,0.5412372973629669,0.3546524079347879,0.3989839588799508,0.44331550981473916,0.487647060739153
21.0,0.6648720107281476,1.0967543826818897,1.0967543826818897,0.7677280685353755,0.7677280685353755,0.5483771921243409,0.5483771921243409,0.3593309119511586,0.404247275897752,0.44916363983383395,0.49408000375940453
21.25,0.6735577203856955,1.1110820878340215,1.1110820878340215,0.7777574621504645,0.7777574621504645,0.5555410447106409,0.5555410447106409,0.3640251146275077,0.4095282539080268,0.4550313931778971,0.5005345324371188
