cg_height_m,mu_slide_mu_brake,max_grade_angle_deg,pair_id,scenario,是否找到路径,路径总代价_J,路径长度_L_m,平均单位距离代价,alpha_parallel_deg_mean_weighted,alpha_parallel_deg_max,alpha_parallel_deg_p90,alpha_cross_deg_mean_weighted,alpha_cross_deg_max,alpha_cross_deg_p90,rho_up_mean_weighted,rho_up_max,rho_up_p90,rho_down_mean_weighted,rho_down_max,rho_down_p90,rho_roll_mean_weighted,rho_roll_max,rho_roll_p90,rho_slide_mean_weighted,rho_slide_max,rho_slide_p90,rho_break_mean_weighted,rho_break_max,rho_break_p90,rho_max_mean_weighted,rho_max_max,rho_max_p90,unit_cost_mean_weighted,unit_cost_max,unit_cost_p90,E_rho_up_gt_0p5,E_rho_up_gt_0p7,E_rho_up_gt_0p9,E_rho_up_gt_1p0,E_rho_down_gt_0p5,E_rho_down_gt_0p7,E_rho_down_gt_0p9,E_rho_down_gt_1p0,E_rho_roll_gt_0p5,E_rho_roll_gt_0p7,E_rho_roll_gt_0p9,E_rho_roll_gt_1p0,E_rho_slide_gt_0p5,E_rho_slide_gt_0p7,E_rho_slide_gt_0p9,E_rho_slide_gt_1p0,E_rho_break_gt_0p5,E_rho_break_gt_0p7,E_rho_break_gt_0p9,E_rho_break_gt_1p0,E_rho_max_gt_0p5,E_rho_max_gt_0p7,E_rho_max_gt_0p9,E_rho_max_gt_1p0,上坡段数量_alpha_gt_1deg,下坡段数量_alpha_lt_minus1deg,近似平坡段数量_abs_alpha_le_1deg
0.75,0.5,35.0,1,contour_cross_slope,True,5111.0585798565535,4480.772007881524,1.1406647271645103,-4.132775144973579,51.33989972106468,35.12261878651689,11.273986850848946,34.100996270708,21.44653778990133,0.28512332485076264,1.7427368288131306,1.0043353307814031,0.4973437874991587,3.149132915198801,1.3748459067917083,0.31749828589763834,1.0594811440813676,0.6147005550926905,0.5072543109728308,1.6926906430700137,0.982082487930933,0.036913714302952705,0.25770164166880044,0.07222211613647908,0.8550106192086431,3.149132915198801,1.4477618113568833,1.1463088879073877,3.4479561533837892,1.4848199505470254,0.2865618011996597,0.23766144184070645,0.1515379394505985,0.09360573108982644,0.4726775163554331,0.27862569922172037,0.17553424585185431,0.1409564701466794,0.20727865376361165,0.02819129402933588,0.006386481675839026,0.006386481675839026,0.4072630792949426,0.26101587449630365,0.14934644540283956,0.08876886971608772,0.0,0.0,0.0,0.0,0.8107850442400258,0.5949284147528163,0.42642252432245964,0.28875329524741866,45,81,2
0.75,0.5,35.0,2,upslope_downslope,True,5070.922870839372,4632.60943896706,1.0946148035242194,7.054680447098245,51.33989972106468,38.07518820726842,11.480018309654847,29.808855987202545,21.766894469838075,0.4067675108700678,1.7427368288131306,1.1124921591037615,0.23679104570440504,1.5895402295152758,0.9672889384551965,0.3239509919511735,0.8964840449919265,0.6248222131761911,0.5175635413166805,1.4322766979823192,0.9982534561694952,0.047354667220039524,0.2101007014879392,0.10078268024499583,0.7921088701159761,1.7427368288131306,1.250804090483754,1.0981755607279515,1.743513650510354,1.2954978408404092,0.35196736712839966,0.2663092074425962,0.16471566962990766,0.13240694508987577,0.22739983316086496,0.16066768612763568,0.10881356824470868,0.08777285763896897,0.20424442460195974,0.0569594503617817,0.0,0.0,0.490099025387451,0.2699192226586063,0.14112229278474056,0.08671550866238624,0.0,0.0,0.0,0.0,0.7778869117220487,0.589577865246974,0.38383812338216966,0.29456994848035606,85,49,3
0.75,0.7,25.0,1,contour_cross_slope,True,5112.762584950675,4487.760132685025,1.1392682393414175,-4.476376001178956,51.33989972106468,34.2633493213247,13.365852672952977,34.100996270708,26.381263243674102,0.4105224266998875,2.5478321653257674,1.4244873440473538,0.35500022521110347,1.4510552500786171,0.9200294709890169,0.3816210496685321,1.0594811440813676,0.776153141225771,0.4355004900562345,1.209064745913628,0.8857348766691506,0.035148022691031865,0.20681787802719012,0.06729788094535553,0.8109897747588012,2.5478321653257674,1.4424960546120122,1.1444831641941913,2.922332655126314,1.4643733463693533,0.3169073764505423,0.3015129013640187,0.250046927397212,0.23201117795707044,0.3105307760840895,0.1895630787103345,0.11149665161849982,0.0653132263589291,0.3094367244248727,0.16560389993892452,0.021771075452976366,0.0063766003664527905,0.3773912251374198,0.1900162497455189,0.10029067357999544,0.021771075452976366,0.0,0.0,0.0,0.0,0.6879220012215094,0.5271474789546363,0.397615077895995,0.29732440431599955,45,81,1
0.75,0.7,25.0,2,upslope_downslope,True,5209.95958142168,4813.598341931766,1.0823419843814488,7.571442771279208,47.563472084035574,27.051958167650135,14.58602214407479,34.100996270707995,26.716902074737146,0.47591856810885363,2.23922856311282,1.0876448045835487,0.08495055254259677,1.0837182364931601,0.3950068273793732,0.4194399560550441,1.0594811440813674,0.7875850862125099,0.4786588857448962,1.2090647459136274,0.8987808489716351,0.04293631425912052,0.24128752436505516,0.08797966874807453,0.6920232114598042,2.23922856311282,1.1138702227766766,1.0843563537512477,2.240280163535694,1.2026308444272225,0.4539504286779636,0.29558312381135826,0.19014581316434487,0.11835280085778356,0.05004376971850772,0.03220118608990999,0.011895055752398485,0.005947527876199243,0.4014431122505421,0.1786734352041168,0.05395042867796359,0.0311807516315383,0.4410349384671934,0.2935422548946149,0.08759472701841567,0.07077257784818962,0.0,0.0,0.0,0.0,0.6588775220957911,0.481224521350046,0.26686591888873373,0.18071430412086018,95,35,5
0.75,0.7,30.0,1,contour_cross_slope,True,4878.467144736759,4487.760132685025,1.0870605826737834,-4.5216071840109056,51.33989972106468,34.2633493213247,12.969451528819302,34.100996270708,25.811263825530883,0.340151675422858,2.089554345136461,1.1682652255728396,0.3590500908561466,1.4510552500786171,0.9200294709890169,0.3701880086889029,1.0594811440813676,0.7568500584578753,0.42245326702232094,1.209064745913628,0.8637064743776202,0.03455129734966078,0.20681787802719012,0.06861101032965516,0.7490813682512657,2.089554345136461,1.2061939919833995,1.091781673597655,2.464074793228537,1.2641592980392824,0.2935890783031647,0.27819460321664113,0.22563457759061764,0.19484562741757047,0.3105307760840895,0.1895630787103345,0.11149665161849982,0.0653132263589291,0.30041884970480187,0.15658602521885376,0.021771075452976366,0.0063766003664527905,0.365732076063731,0.19903412446558966,0.07323704941978308,0.021771075452976366,0.0,0.0,0.0,0.0,0.6826394525142734,0.539900679687542,0.35516697864925906,0.26015885377649955,46,79,2
0.75,0.7,30.0,2,upslope_downslope,True,4955.122935411767,4463.901182205352,1.1100431513055429,7.621236671002112,51.33989972106468,38.07518820726842,14.719794764481385,33.540624035591804,25.52993985020163,0.5291785401978191,2.089554345136461,1.3338863255495992,0.19180690676688072,1.1353858790703322,0.761300971068307,0.4213638073661271,1.0373071867189154,0.7474424450878365,0.48085435737702864,1.183760142548007,0.8529706403965803,0.05430362234393484,0.28724705281554186,0.11161599766546768,0.8668102144712585,2.089554345136461,1.3338863255495992,1.11342973413899,2.089930780021698,1.349028202325104,0.47474733964204097,0.37948760768232376,0.2996631195227213,0.21344514404257603,0.20924555472700188,0.11928236108534314,0.05644443688240021,0.03726397492077205,0.36450673503626974,0.13517197603951844,0.04256051323883048,0.027125269438715814,0.4469794923549015,0.23947346447880755,0.08247275731863174,0.05160226971840241,0.0,0.0,0.0,0.0,0.8840084859221098,0.6637154834049304,0.43858031372375317,0.30231138868175045,77,45,5
0.75,0.7,35.0,1,contour_cross_slope,True,4747.430618305557,4487.760132685025,1.0578619351175462,-4.496309362472555,51.33989972106468,35.16956451519932,12.897456369530087,34.100996270708,25.302154138052476,0.2848908545827694,1.7427368288131306,1.0059937887785932,0.3590500908561466,1.4510552500786171,0.9200294709890169,0.367416362390811,1.0594811440813676,0.7397586881491779,0.41929030386258437,1.209064745913628,0.8442020467480765,0.03457984949138387,0.20681787802719012,0.06762616329143044,0.699383302153396,1.7427368288131306,1.0837182364931601,1.0617784656490112,2.1175647451586745,1.1727788948915019,0.28721247793671195,0.23838777832352326,0.14866220215799977,0.09346090217835826,0.3105307760840895,0.1895630787103345,0.11149665161849982,0.0653132263589291,0.29777757535118393,0.14119155013233017,0.012753200732905581,0.0063766003664527905,0.363090801710113,0.1926575240991369,0.05784257433325951,0.012753200732905581,0.0,0.0,0.0,0.0,0.6826394525142734,0.5091117295144948,0.27819460321664113,0.15877412853728734,46,79,2
0.75,0.7,35.0,2,upslope_downslope,True,4764.2075300115985,4447.030356529181,1.0713233659439123,7.811332840940367,51.33989972106468,39.11410611442594,12.459169091304375,33.049221441027555,23.058446042007716,0.47149889121117494,1.7427368288131306,1.1525022786435044,0.21284465179673331,1.1353858790703322,0.8233042913540128,0.3542580418169433,1.0180977943722687,0.6661369596626608,0.4042742164030124,1.1618386584267475,0.7601859819568031,0.05257618751946662,0.28724705281554186,0.11079529180028039,0.7997300251788354,1.7427368288131306,1.1563833807500759,1.072335707605189,1.743420731951836,1.1885827672516043,0.45883664115859274,0.3787120689961439,0.2441330140383224,0.17418526176861857,0.2292847380537468,0.13632512120775991,0.06307415065750747,0.03740406129043133,0.2558669859616776,0.09827606642757304,0.02722724139768634,0.009075747132562114,0.31142254151723314,0.1564898467739217,0.07370704982067978,0.03630298853024846,0.0,0.0,0.0,0.0,0.8472694507770543,0.631464750896601,0.38091421451650964,0.24789231158929836,72,49,5
0.85,0.35,25.0,1,contour_cross_slope,True,6280.262463989241,4531.384484910033,1.3859478234308185,-4.2289993385103894,51.33989972106468,34.9817816004696,9.253904506892635,34.100996270708,17.353854202759482,0.418713281052258,2.5478321653257674,1.4610361131702054,0.7216198007098852,3.060284277839851,2.217039125104515,0.2930313753704933,1.2007452963750285,0.5541901367884746,0.5901233273100778,2.418129487509167,1.1160597634657694,0.030714005056349688,0.13623717362108556,0.06565646921498099,1.2024735624206404,3.060284277839851,2.3658470933226003,1.398224267283486,4.234351483705629,2.471545348183482,0.3265069266606774,0.27183370198207957,0.2592025029107071,0.23502369033925136,0.5462834109463577,0.4685149592675935,0.3260580908210575,0.282932479642543,0.1777344586784551,0.01263119907137253,0.006315599535686265,0.006315599535686265,0.516872584410505,0.37856414435707664,0.25027089639282235,0.1777344586784551,0.0,0.0,0.0,0.0,0.9059007566963755,0.8065694994283541,0.6336182188746761,0.572629394660392,48,82,1
0.85,0.35,25.0,2,upslope_downslope,True,5685.424381488076,4938.682246468461,1.1512027090938262,7.473325161793575,51.33989972106468,27.511757359889653,7.784406875720595,32.04975988982777,16.44321708789231,0.46641769803648747,2.5478321653257674,1.1076820216653478,0.1536833213110925,2.564257717555807,0.7785620973450956,0.2466919657188658,1.1103028774045205,0.5234017958557815,0.49680237635515584,2.235991376375616,1.0540564432732265,0.03927308419664673,0.19696940764494297,0.07878776305797719,0.7849964247456016,2.564257717555807,1.656310647821698,1.154897553245303,2.564413532642351,1.679308043823051,0.38752626980297306,0.25774457705612497,0.1409651900082719,0.11876886577845715,0.12456663167723636,0.10717333398089873,0.07097996468678698,0.042985874558193006,0.1177741264131551,0.05118515372371078,0.008199279165517786,0.008199279165517786,0.37352922473867606,0.19355711763341926,0.1549622350725689,0.1177741264131551,0.0,0.0,0.0,0.0,0.6756664502544305,0.4619024871218006,0.2959274250808408,0.23414147892487366,99,36,6
