pair_id,roi_id,scenario,模型方案,是否找到路径,规划模型内部相对累计代价_Jplan,规划路径长度_L_m,规划平均单位距离相对代价,规划绕行率_L除以直线距离,路径节点数,V10统一重评价相对累计代价_Jplan,V10统一重评价平均单位距离相对代价,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b,硬约束rho_lim
5,1,random_far_1,V10_Free,True,11109.252485971878,6267.589637339098,1.7724919991233354,1.2211338820410031,92,11109.252485971878,1.7724919991233354,6267.589637339101,0.1666392816997578,0.49527501728638285,0.23229200577946713,0.573451495483509,0.8129577018808373,1.0418727701711208,1.7725556115850514,0.7627455289319462,1.8140138460262099,1.8140138460262099,0.012996950506521835,0.3740285108539413,0.10397560405217468,0.35118819884225544,0.3924089745297563,0.45739372706236553,0.1781505884226914,0.4408605930533954,0.0,0.3809888185239134,0.3814500570692898,0.3814500570692898,
5,1,random_far_1,V10_Hard_rho_1p0,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.0
5,1,random_far_1,V10_Hard_rho_1p2,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.2
5,1,random_far_1,V10_Hard_rho_1p5,True,26249.605282736327,14277.173579245613,1.8385715587919134,2.7816659044702834,212,26249.605282736327,1.8385715587919134,14277.173579245597,0.2150934188377982,0.47356846528901164,0.2614093706144367,0.6560639938118621,0.9064347059111268,1.3681855588544238,1.9009149170034967,0.6657863515253429,1.641636918065834,1.9009149170034967,0.0,0.4704583936335006,0.12967597163520075,0.3358878083937833,0.43426706975443463,0.5618664327070104,0.15584054182359697,0.4236668764103749,0.0,0.4204925817660279,0.3730455842991258,0.3730455842991258,1.5
6,2,contour_cross_slope,B0_Static_Slope,True,38069.161923537424,9498.019230592501,4.0081159028315225,1.149488000429233,134,18672.971095369892,1.96598581683489,9498.01923059251,0.3753863299961559,0.5004139921782504,0.20656155209699717,0.5450361346583187,1.0394367860044214,1.5947032196496744,6.214740681790529,0.7587361097234308,2.6853817760823255,6.214740681790529,0.023217441563510854,0.273154324579008,0.23615789884019742,0.2917787714174189,0.5007357454890167,0.5496826208430938,0.3315396573212965,0.3331896700903297,0.0,0.3352706725883741,0.37414622299777184,0.37414622299777184,
6,2,contour_cross_slope,B1_Longitudinal_Directional,True,20866.613109922993,11664.67875313333,1.7888716484642038,1.4117057388556322,177,32737.337217344415,2.806535688653287,11664.67875313333,0.23661371354432875,0.27083271576961954,0.6910116239762317,1.8447144064645016,1.8858699473169875,1.3080455342893942,1.7037434035436647,1.5723206129208445,6.751817037006994,6.751817037006994,0.48483495705504465,0.9235331254660907,0.08958651605936448,0.19617790328386298,0.9075208495126813,0.9284711613135452,0.025888347648318447,0.05756196415254552,0.0,0.9165496881991358,0.35961613296200784,0.35961613296200784,
6,2,contour_cross_slope,V9_Constant_Adhesion,True,16712.3630122095,9194.344368421433,1.8176786013812125,1.1127360628280423,125,18178.96387480216,1.977189796940713,9194.344368421444,0.3910814437878548,0.5431647779375888,0.2271857654490591,0.599161676365162,1.0645917036251074,1.392707478494049,6.214740681790529,0.6856049184247871,2.6853817760823255,6.214740681790529,0.0,0.3191352606611629,0.2694621956093064,0.30660568823621737,0.4859503355438047,0.565688046187227,0.34400998742358047,0.30034090202374475,0.0,0.35564911055267506,0.3777758083027795,0.3777758083027795,
6,2,contour_cross_slope,V10_Free,True,18142.993579205522,9194.344368421433,1.9732775771939544,1.1127360628280423,125,18142.993579205522,1.9732775771939544,9194.344368421444,0.3937187945648442,0.5100041218951773,0.21538837001611075,0.5546522400850212,1.0155066833828403,1.392707478494049,2.992282550491736,0.6856049184247871,1.7646794528541014,2.992282550491736,0.0,0.2711667057280297,0.2694621956093064,0.3128704744486901,0.4885452949583789,0.5505635143477073,0.37685401051719397,0.30660568823621753,0.0,0.31654030124658883,0.37972194056649927,0.37972194056649927,
6,2,contour_cross_slope,V10_Hard_rho_1p0,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.0
6,2,contour_cross_slope,V10_Hard_rho_1p2,False,inf,inf,inf,inf,0,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,1.2
