pair_id,roi_id,scenario,模型代码,模型名称,起点_row,起点_col,终点_row,终点_col,是否找到路径,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以直线距离,路径节点数,alpha_parallel_deg_mean_weighted,alpha_parallel_deg_max,alpha_parallel_deg_p90,alpha_cross_deg_mean_weighted,alpha_cross_deg_max,alpha_cross_deg_p90,rho_up_mean_weighted,rho_up_max,rho_up_p90,rho_down_mean_weighted,rho_down_max,rho_down_p90,rho_roll_mean_weighted,rho_roll_max,rho_roll_p90,rho_slide_mean_weighted,rho_slide_max,rho_slide_p90,rho_break_mean_weighted,rho_break_max,rho_break_p90,rho_max_mean_weighted,rho_max_max,rho_max_p90,unit_cost_mean_weighted,unit_cost_max,unit_cost_p90,E_rho_up_gt_0p5,E_rho_up_gt_0p7,E_rho_up_gt_0p9,E_rho_up_gt_1p0,E_rho_down_gt_0p5,E_rho_down_gt_0p7,E_rho_down_gt_0p9,E_rho_down_gt_1p0,E_rho_roll_gt_0p5,E_rho_roll_gt_0p7,E_rho_roll_gt_0p9,E_rho_roll_gt_1p0,E_rho_slide_gt_0p5,E_rho_slide_gt_0p7,E_rho_slide_gt_0p9,E_rho_slide_gt_1p0,E_rho_break_gt_0p5,E_rho_break_gt_0p7,E_rho_break_gt_0p9,E_rho_break_gt_1p0,E_rho_max_gt_0p5,E_rho_max_gt_0p7,E_rho_max_gt_0p9,E_rho_max_gt_1p0,上坡段数量_alpha_gt_1deg,下坡段数量_alpha_lt_minus1deg,近似平坡段数量_abs_alpha_le_1deg
4,1,diagonal_nw_se,B0,B0 静态坡度,279,740,380,639,True,9491.975612785762,4735.033365689247,2.0046269750844887,1.1510379603558314,136,-5.908925907526231,24.428173456638085,8.340407845718232,6.87483575918419,34.77755089565154,13.661016318661034,0.08521862686521178,0.8005392978151392,0.3024141738160172,0.24129988341945258,0.9616557807863785,0.5986714335591149,0.21628821239640833,1.231533637307721,0.4310367730577025,0.30490149279368356,1.7360929672512957,0.6076325385379535,0.037160182302094454,0.18383811380194673,0.07714635132760266,0.4434608004155186,1.7360929672512957,0.7282211382331792,1.0136021523783467,2.063323879449563,1.0173263595055198,0.0679686692567312,0.01459540402496817,0.0,0.0,0.1982900420540977,0.060885791533927494,0.04024477321350265,0.0,0.04231930006819672,0.006045614295456675,0.006045614295456675,0.006045614295456675,0.15908253226794208,0.04231930006819672,0.018136842886370023,0.006045614295456675,0.0,0.0,0.0,0.0,0.3780135926424646,0.10570926703617904,0.05838161609987268,0.006045614295456675,36,92,8
4,1,diagonal_nw_se,B1,B1 方向纵坡,279,740,380,639,True,5903.624424632386,4501.736382292027,1.3114105143639259,1.0943258607384265,125,-6.659698462677567,19.147951958537792,4.631925268739654,21.83319560898346,47.21028636698687,39.133924189232125,0.0534262124851838,0.6272267349933568,0.19603426336831992,0.22743281256313386,0.9757386749584233,0.579715327983902,0.7595438346060979,1.9158167296391722,1.4429762331936953,1.0707289428662532,2.700726841810065,2.0341635944551832,0.035879908467311664,0.1510098791944563,0.08305543355695094,1.100474607006382,2.700726841810065,2.0341635944551832,1.5106390644034016,3.8163229165819303,2.5702755972348963,0.015306680258374701,0.0,0.0,0.0,0.15460520145337994,0.05379867420268434,0.02689933710134217,0.0,0.630464049253233,0.5217788885749771,0.3861943907953791,0.3350219277352149,0.7233919430763683,0.630464049253233,0.5703251404926213,0.5217788885749771,0.0,0.0,0.0,0.0,0.7666857727089723,0.630464049253233,0.5703251404926213,0.5217788885749771,26,92,7
4,1,diagonal_nw_se,V6,V6 经验纵横坡,279,740,380,639,True,8127.105096718101,4701.291714336906,1.7286961946934598,1.142835711595968,134,-6.073576274965153,24.428173456638085,8.904979517498697,6.771522866997638,31.027982518193017,11.788011834139166,0.08561840778859298,0.8005392978151392,0.31872191035939196,0.24911382766402101,1.5404361051719462,0.5829056797824622,0.21279531236233082,1.0667615880945394,0.37010095913484015,0.29997755161922207,1.5038138096442413,0.521731321713308,0.03764258868455175,0.21502493667906275,0.07452009255900342,0.44841410754822225,1.5404361051719462,0.711353091839346,1.0165750437894354,1.655645663999309,1.0162208332952583,0.06828130904272389,0.014662539427805134,0.0,0.0,0.2042335173957465,0.05760812311769516,0.042945583689890036,0.008589116737978006,0.03288280749728651,0.008589116737978006,0.008589116737978006,0.008589116737978006,0.14410970022990044,0.03288280749728651,0.020735962117632258,0.008589116737978006,0.0,0.0,0.0,0.0,0.38122602512293347,0.10515347004278681,0.06368154580752229,0.017178233475956012,36,90,8
4,1,diagonal_nw_se,V7,V7 车辆约束,279,740,380,639,True,4637.136836261802,4552.348859320538,1.0186251053162738,1.1066292338782215,128,-6.702175718346345,22.654927938017725,10.356736738147141,8.363561935644722,27.511757359889653,16.416278083058767,0.08246087213439608,0.7408841957315714,0.360904437575058,0.2671359681728897,1.4477618113568833,0.6320098041882194,0.26420530367653683,0.923650227980791,0.5224954717197743,0.3724502163222015,1.3020697254384719,0.7365618659481996,0.03453168651965528,0.18383811380194673,0.07140141027129181,0.4966224298211022,1.4477618113568833,0.837839122516077,1.0200063269459514,1.8290622427070304,1.036937893553655,0.06807505032724902,0.00889073346691458,0.0,0.0,0.23026550640911803,0.06331376110710535,0.04813632971601328,0.012573395848354964,0.12923155775694778,0.03664156070636161,0.006286697924177482,0.0,0.25954174235259886,0.12923155775694778,0.045532294173276186,0.03664156070636161,0.0,0.0,0.0,0.0,0.46053101281823605,0.17997192301569817,0.08109522804093451,0.03664156070636161,35,89,4
5,1,random_far_1,B0,B0 静态坡度,350,700,262,714,True,12128.84817280944,3317.678297703423,3.6558240686582906,1.2927870564154413,93,6.4822946890286195,45.8796439506898,26.72237602979009,5.631343189000104,24.29366311851227,11.576857633241536,0.46248579613940105,1.7351358971243664,0.8802734054151972,0.2651220548877714,2.0805814727239293,1.0102663838571138,0.17689870347013184,0.8004968642500188,0.3633024230057776,0.2493741021006563,1.1284604287133422,0.512147425339132,0.034892514116115846,0.11982305631734032,0.07484837490507831,0.7649989934791058,2.0805814727239293,1.4864215683870274,1.1260441718281913,2.080806092361487,1.4895322506208846,0.44248266162843475,0.22332211571284097,0.10914932829510136,0.0970216251512012,0.19698592452641706,0.15055589684944007,0.12630049056163978,0.11772490942837056,0.06566197484213902,0.017151162266538414,0.0,0.0,0.10706854339647773,0.06566197484213902,0.029278865410438563,0.017151162266538414,0.0,0.0,0.0,0.0,0.6601718704320211,0.39102917482881944,0.26472868426717966,0.23189769684611017,65,25,3
5,1,random_far_1,B1,B1 方向纵坡,350,700,262,714,True,8300.33517156478,4146.746701166112,2.0016499125038507,1.6158469810686276,128,4.613424761872826,34.77755089565153,22.022721851968647,24.10080342894692,46.21844692653212,38.285212294154846,0.33759971985159526,1.1896604312022427,0.7200282948678232,0.1690147196382775,1.4130399520420065,0.5490015133153215,0.8370622305629578,1.8505047956742011,1.3998524513158952,1.1800066255672406,2.608656608566541,1.973371999186218,0.03548027423229982,0.23800470090430612,0.07550493959722814,1.2579679971134874,2.608656608566541,1.973371999186218,1.5748332279702157,3.6314595657876447,2.491814117280708,0.3436836605273848,0.10886352835379069,0.057870625394621567,0.006877722435452431,0.1563163394726152,0.05669059478117336,0.030359735652811838,0.013755444870904862,0.734820132173594,0.5842014845229831,0.4781868020801945,0.4312227756454757,0.7983884493902198,0.734820132173594,0.6437409252151585,0.5842014845229831,0.0,0.0,0.0,0.0,0.9226762379124693,0.7583021453909534,0.6975826740853298,0.597956929393888,80,46,2
5,1,random_far_1,V6,V6 经验纵横坡,350,700,262,714,True,11305.727654648568,3334.5491233795933,3.390481662237478,1.2993610467508792,94,6.471781265482934,45.8796439506898,27.496862903347044,5.537276212965933,25.114604821166303,11.481201748981332,0.4597781253339794,1.7351358971243664,0.907991220873799,0.2637968820341932,2.0805814727239293,0.9998498260559147,0.1741755443336192,0.8312852051827119,0.3602235889125085,0.24553526466870365,1.1718627528946248,0.5078071929210042,0.034639705475832144,0.11982305631734032,0.07222211613647911,0.763668361197663,2.0805814727239293,1.470664944553883,1.1238298143436445,2.080806092361487,1.474077775412851,0.43673661110456036,0.22720422370520535,0.11713647911377274,0.09300230983878419,0.19600131990787667,0.14980336576508552,0.12566919649009697,0.11713647911377274,0.058265038780285425,0.025598152128972648,0.0,0.0,0.09946464280792243,0.058265038780285425,0.03766523676646693,0.025598152128972648,0.0,0.0,0.0,0.0,0.6533377330262555,0.39407302422293927,0.2804709123703366,0.2357369410815296,66,25,3
5,1,random_far_1,V7,V7 车辆约束,350,700,262,714,True,3283.2232378981616,2820.7338863646423,1.1639606464718921,1.0991446218305445,89,6.610517459627698,45.8796439506898,32.005114152409014,13.568813314581927,27.51175735988966,23.46196414599771,0.5174852919737172,1.7351358971243664,1.0771736919604658,0.31895869570333224,2.301550032028685,1.1590242474544836,0.4350730527293484,0.9236502279807912,0.7697085233173255,0.6133224819869386,1.302069725438472,1.0850581045320595,0.034727619503458956,0.11161599766546766,0.07813119836582738,0.9522670277169115,2.301550032028685,1.434883936348401,1.1718313824209268,2.3526564518871735,1.52632996248551,0.5005057859212192,0.38145403453337323,0.1818832081190405,0.13745465899258374,0.25722169968987535,0.22702704655494285,0.20272826618510773,0.1742604742020592,0.41754456043340304,0.16103815005297328,0.01006488437831083,0.0,0.6497521904439977,0.41754456043340304,0.21136257194452743,0.1308434969180408,0.0,0.0,0.0,0.0,0.9170387745121839,0.7334287052412595,0.4953252024655674,0.3922342082211296,62,26,1
6,2,contour_cross_slope,B0,B0 静态坡度,271,767,388,852,True,19279.64660661225,5486.735765574589,3.513864605541692,1.3173417874732516,165,-1.9571880042526706,43.152091031280435,33.1340048462416,7.262117888801246,28.375494547201935,16.172713585313225,0.2981557751435297,1.5833640185484634,1.1221683876571766,0.3511240422385049,1.9685897008419482,0.9268141730969173,0.22925304309901595,0.9579083648195863,0.5143310083393823,0.32317801462187035,1.3503634209050328,0.7250524219292235,0.04534031807134764,0.24621175955617874,0.09520188036172242,0.709828762538386,1.9685897008419482,1.3217110627871513,1.085463903688168,2.0015091547795376,1.3692415869780774,0.23877605000754937,0.21878527270168222,0.14836960379242128,0.12532004389991339,0.3425309042320969,0.2512285613395171,0.14083133781852186,0.07257855481844992,0.10264157656169103,0.03043411429752661,0.007384554405018717,0.0,0.21266770752840072,0.10264157656169103,0.04609911978501578,0.01999077730586716,0.0,0.0,0.0,0.0,0.6430710795121511,0.5161129538262151,0.31963505590846975,0.21266770752840072,76,86,3
6,2,contour_cross_slope,B1,B1 方向纵坡,271,767,388,852,True,11965.73203833559,6287.355039084441,1.9031424126603844,1.5095670503460217,187,-1.7507167620817865,29.983805309182934,20.86235440888103,28.324879099573483,53.90340404313576,40.266138812001245,0.2298664289132211,0.9993896380936979,0.6821254980345005,0.2689708333113261,1.1476031102895918,0.7880464840776231,1.004405351030508,2.43227893368275,1.5021744811943514,1.4159102223189444,3.4287836103213096,2.1176153646010745,0.04244325098917257,0.17727246688044873,0.08338371590302586,1.457453099701828,3.4287836103213096,2.1176153646010745,1.8144345079430493,5.147668585946237,2.7261862943758906,0.2690329777149296,0.07691277119591895,0.015538726306423901,0.0,0.2569411356948814,0.13718251280763996,0.04850134253324631,0.021975077484548276,0.836291222143662,0.7301861619488699,0.6270705686458264,0.5611453361921815,0.8920097761912332,0.836291222143662,0.7612636145617176,0.7119814116922708,0.0,0.0,0.0,0.0,0.9514986574667537,0.8764710498848093,0.7703659896900172,0.7275201379986946,81,104,2
6,2,contour_cross_slope,V6,V6 经验纵横坡,271,767,388,852,True,17690.1085762281,5469.864939898419,3.2341033591510624,1.3132911743943716,164,-2.0614478958119706,43.152091031280435,33.20386570697708,6.916970314267225,28.375494547201935,15.6940578173289,0.2990705669860033,1.5833640185484634,1.1249805561382216,0.3573017950048484,1.9685897008419482,0.9269339214475167,0.2180232069562915,0.9579083648195863,0.49829141542227534,0.3073473146229737,1.3503634209050328,0.7024414078104063,0.044810069745883634,0.24621175955617874,0.0997978332067712,0.7132342066707312,1.9685897008419482,1.3443350512098629,1.0873917756160811,2.0015091547795376,1.369867054548503,0.23950865491053946,0.21945654255256636,0.1488248265804253,0.12570454677866152,0.343581846400954,0.2519993726323694,0.14650112139339302,0.08237797143721255,0.09771880865616604,0.025289801807083987,0.007407211454431096,0.0,0.1827927164087901,0.09771880865616604,0.04100287015441668,0.014814422908862193,0.0,0.0,0.0,0.0,0.634568750364132,0.5176964747884634,0.3258534392300132,0.2228969411247363,76,85,3
6,2,contour_cross_slope,V7,V7 车辆约束,271,767,388,852,True,5469.72248771115,4869.999971098613,1.1231463080434572,1.1692661613439084,144,-2.43257101521862,50.265965925352965,32.51531574422851,10.277514769758668,28.917200023608167,20.21779036691336,0.32764026284354736,2.0135263735143494,1.0973856960011739,0.40631005935364545,2.0314773484220097,0.9511866127650976,0.32682543895885624,0.9796790094745772,0.653119339649718,0.4607258209655485,1.3810534986528749,0.9207023324352497,0.05044658360516469,0.23964611263468064,0.10734832716649396,0.8302171308124562,2.0314773484220097,1.3243779580122153,1.1214248879915945,2.032425981866721,1.3723737260369853,0.28963035875011256,0.20710678118654752,0.16119485597466404,0.1235769681568388,0.3847170692372195,0.30462275898295926,0.18548752906771265,0.10296395150414762,0.22227182413150287,0.06937100555089706,0.008294037394058257,0.0,0.37416640724596495,0.22227182413150287,0.12114770084753394,0.05764146538139028,0.0,0.0,0.0,0.0,0.7910533905932738,0.631871005550897,0.41504715512713014,0.25485853461860974,65,78,1
7,2,upslope_downslope,B0,B0 静态坡度,372,751,287,868,True,11452.261454944204,5480.946613436257,2.0894677986590087,1.3159518368082834,159,2.196926845892137,53.72617774905809,10.569349247334875,7.527004987020991,32.005114152409014,14.699834947082092,0.19933173193938056,2.272031815876476,0.36704555600788086,0.07041612099120101,1.135265077457242,0.23917680889108853,0.23734866664426177,1.108380273576949,0.4652509276742753,0.33459041512531135,1.5624836705261662,0.6558642322658924,0.04616954840512715,0.24621175955617874,0.08600997467162513,0.4524620506010014,2.272031815876476,0.7899223000993403,1.0513535069008624,2.275767259997693,1.0284071839399322,0.06944246348835387,0.06422660169495129,0.0568502592072577,0.0568502592072577,0.012592204281096172,0.005215861793402583,0.005215861793402583,0.005215861793402583,0.08166398788480017,0.015647585380207746,0.005215861793402583,0.005215861793402583,0.22233871567114905,0.08166398788480017,0.02823978966130392,0.015647585380207746,0.0,0.0,0.0,0.0,0.26965215169642215,0.14589058957975146,0.08509004886856161,0.07249784458746544,75,64,20
7,2,upslope_downslope,B1,B1 方向纵坡,372,751,287,868,True,7515.517495919919,5076.543427946993,1.4804399100667742,1.2188563618311838,152,3.3059627569025807,44.69972552899883,19.05871029266265,20.747820447469504,48.45382193125944,38.60864831159051,0.2041724959759133,1.667729072979796,0.6244145665123126,0.053088693677224026,0.7880464840776238,0.16552062226300857,0.7137341887239246,2.001242160625047,1.4161465048709305,1.006151085113074,2.8211510717833557,1.996341726466062,0.049112037383713295,0.2856056410851673,0.10439378605181984,1.02560072870946,2.8211510717833557,1.996341726466062,1.4334555571403447,4.056177165576347,2.5012229303598956,0.10829866221785744,0.07782716429297643,0.024843441777142903,0.024843441777142903,0.013587329481666655,0.013587329481666655,0.0,0.0,0.6222859653349999,0.4357601651886903,0.3158054170398808,0.27504342859488085,0.7193285152573811,0.6222859653349999,0.4798189925952379,0.424504052893214,0.0,0.0,0.0,0.0,0.7249565714051193,0.6335420776304762,0.48544704874297606,0.43013210904095217,84,50,18
