pair_id,roi_id,scenario,模型代码,模型名称,起点_row,起点_col,终点_row,终点_col,是否找到路径,路径总代价_J,路径长度_L_m,平均单位距离代价_J除以L,绕行率_L除以直线距离,路径节点数,评价路径长度_m,平均上坡牵引利用率,平均下坡制动利用率,平均侧翻稳定性利用率,平均侧滑附着利用率,平均最大利用率,最大上坡牵引利用率,最大下坡制动利用率,最大侧翻稳定性利用率,最大侧滑附着利用率,最大rho_max,P_rho_roll_gt_0p7,P_rho_slide_gt_0p7,P_rho_up_gt_0p7,P_rho_down_gt_0p7,P_rho_max_gt_1p0,P_rho_max_gt_0p9,主导限制_上坡牵引_路径比例,主导限制_下坡制动_路径比例,主导限制_侧翻稳定性_路径比例,主导限制_侧滑附着_路径比例,平均侧滑附着能力_mu_s,平均制动附着能力_mu_b
4,1,diagonal_nw_se,V9常数附着,V9 常数附着车辆能力利用率,579,679,680,579,True,8689.682536870181,4456.065255699849,1.9500797313852216,1.0885993793042008,123,4456.065255699856,0.3620695012022469,0.7938121388015242,0.31077343533788654,0.8662267153063496,1.4908849886372653,2.8492030857740844,14.884687558856326,0.8920244321407507,6.4449162625975855,14.884687558856326,0.02742090195183586,0.5448222604619586,0.24586947107024457,0.34262674173332497,0.6734360507375575,0.7697339981524988,0.1974908357387044,0.3372724775763642,0.0,0.4652366866849316,0.35897854705631493,0.35897854705631493
4,1,diagonal_nw_se,V10空间附着,V10 空间附着车辆能力利用率,579,679,680,579,True,9751.142653279423,4540.419384080703,2.1476303901503435,1.1092067641892596,128,4540.419384080707,0.3662147990593123,0.6686443783071948,0.28424119763008754,0.8073369012056565,1.3235308934689451,1.4734306018432253,2.9212965283338215,0.7495947108111005,6.4449162625975855,6.4449162625975855,0.00634309267046654,0.4924752430748735,0.2741053539797112,0.31985937182262697,0.6302974662467409,0.7538944117136517,0.2852524469566211,0.303006699106174,0.0,0.41174085393720533,0.3607539489127648,0.3607539489127648
5,1,random_far_1,B0,B0 静态坡度代价,645,635,557,649,True,13370.846472668287,3490.4801031994625,3.8306611346709096,1.3601220773019265,99,3490.480103199466,0.24488524408755089,0.5915580030584684,0.32780399478018835,0.7983240841656902,1.1578210134660114,1.3608134141010557,3.1047391079365116,0.9049523224616309,2.1576652341993667,3.1047391079365116,0.03500645322559672,0.5390105584471658,0.1360217076808178,0.2706277503842576,0.49174889984629694,0.5631774712748684,0.13743737265819578,0.3070498685872325,0.0,0.5555127587545722,0.3873445500592026,0.3873445500592026
5,1,random_far_1,B1,B1 方向纵坡代价,645,635,557,649,True,6125.314924874233,3882.6026424857178,1.5776311636548743,1.5129189725491046,118,3882.60264248572,0.11108029588666218,0.4306310586091887,0.7581035744033742,2.0520320568838732,2.0540667152504453,1.0223804176055031,2.7621069696846807,1.224947454252286,8.900122457872856,8.900122457872856,0.6065487349909426,0.9925822177626789,0.058069567672104964,0.23153274601445706,0.9925822177626789,0.9925822177626789,0.0,0.010490328242749739,0.0,0.9895096717572497,0.3610585491491978,0.3610585491491978
5,1,random_far_1,V9常数附着,V9 常数附着车辆能力利用率,645,635,557,649,True,5910.136300156045,3136.689394738716,1.8841955821540164,1.2222618004647452,95,3136.6893947387166,0.28493041633533767,0.6611106716424547,0.36427377004853795,0.9140197701851911,1.249522499696908,1.3230805404306512,3.78022617339973,0.7627455289319462,1.9490914680538547,3.78022617339973,0.03134845871344128,0.6162120838763447,0.23084882833762888,0.33657410733443516,0.5971960549704448,0.6636961781785073,0.15674229356720637,0.32962022272313435,0.0,0.5136374837096597,0.3786807549560878,0.3786807549560878
5,1,random_far_1,V10空间附着,V10 空间附着车辆能力利用率,645,635,557,649,True,6548.661906333807,3279.843097616749,1.9966387755232247,1.2780439582124603,95,3279.8430976167506,0.2711739743868827,0.6271275814540633,0.35479614110070584,0.8666531330021535,1.2284447837323964,1.4246015428870424,3.352001726936959,0.9141398912330494,2.322609997423302,3.352001726936959,0.07237862454580543,0.5657282527251675,0.16959366653209051,0.2888904517559231,0.5651042062978687,0.6199208316511312,0.17473745700439364,0.2910210795315567,0.0,0.53424146346405,0.3862893618253546,0.3862893618253546
6,1,random_far_2,B0,B0 静态坡度代价,614,563,645,664,True,17618.22102836898,4629.714862897889,3.805465682035796,1.521549934787527,134,4629.714862897893,0.17190634159297516,0.5414221574927236,0.3096942052382247,1.1982428915570458,1.4604845953245245,1.2544998661244111,3.2452583365868923,1.3832842643342074,11.20187826594342,11.20187826594342,0.13151995014858045,0.476939013743254,0.056428849367129684,0.25895377391496355,0.5271471126389433,0.5571835529515236,0.12894323093517104,0.27912543249807265,0.0,0.591931336566756,0.30352838403506477,0.30352838403506477
6,1,random_far_2,B1,B1 方向纵坡代价,614,563,645,664,True,7625.637464345009,4412.089732511673,1.7283504929995968,1.450027710902661,131,4412.089732511676,0.15781284281367375,0.46526823213869867,0.581436947140113,1.7057973260291934,1.8202592926354528,1.6584913484356614,2.4552061952752706,1.4443410281482179,11.20187826594342,11.20187826594342,0.39733461565552924,0.7320971734750842,0.06844358956298045,0.2962530895793998,0.7320971734750842,0.7451523480803438,0.027694207478860425,0.23908866212407293,0.0,0.733217130397066,0.3415893608984703,0.3415893608984703
6,1,random_far_2,V9常数附着,V9 常数附着车辆能力利用率,614,563,645,664,True,7172.314925743107,3343.232851587094,2.1453231779348774,1.0987492487016375,103,3343.2328515870963,0.4079853450681663,0.9841424053653819,0.33546920538389874,0.9133192821935525,1.5983146744028023,2.014690822928492,4.247343294461874,0.8044431042850835,2.382042287235408,4.247343294461874,0.058823529411764705,0.5983278161914006,0.31491490532901606,0.5172290128713796,0.8184831507278292,0.8357121635992087,0.1800388336341071,0.3823529411764707,0.0,0.43760822518942244,0.3522372497973589,0.3522372497973589
6,1,random_far_2,V10空间附着,V10 空间附着车辆能力利用率,614,563,645,664,True,8381.422107608756,3343.232851587094,2.5069812602582977,1.0987492487016375,103,3343.2328515870963,0.4258589887568669,0.9906947724100497,0.30412724675883024,0.8842438700699765,1.6225661566311382,2.014690822928492,4.247343294461874,0.8044431042850835,5.370763552164655,5.370763552164655,0.058823529411764705,0.5157509972333159,0.33719017923727246,0.5294117647058824,0.7819348952243207,0.8199611663658929,0.2575693915553152,0.4239474577168559,0.0,0.31848315072782923,0.34567316395323255,0.34567316395323255
